ID,NAAN,Triply_LDMax
Qtriply,,T
Q124789020,,T
Q2798268,61567,T
Q4452658,45151,L
Q474563,72166,T
Q2022136,,T
Q667906,,
Q623558,,T
Q23437720,15396,T
Q2882945,23262,T
Q56460642,10267,T
Q114867292,84481,T
Q110978413,89951,T
Q110986304,28391,T
Q2491328,71485,T
Q2070053,45493,T
Q56461202,58489,T
Q110986306,81061,T
Q131543492,68065,T
Q2575273,42415,T
Q110414440,32838,T
Q125958534,29420,T
Q2004350,77641,T
Q13612139,55411,T
Q2168069,64987,T
Q20829167,16424,T
Q1542668,57463,L
Q11722011,46860,L
Q110996022,11978,L
Q2054056,86191,L
Q260913,60883,L
Q17190029,47887,L
